"SESSION_ID","MC","SDC","NC","MI","SDI","NI","study_name","SDPooled","StroopEffect"
7428303,524.621428571429,297.367289127196,21,521,137.054555632099,42,"cebersole.florida",204.004503842004,-0.0177517089241977
7428304,508.142857142857,59.5686878437705,21,553.071428571429,171.986300199888,42,"cebersole.florida",145.067500237968,0.309708041807234
7428315,632.952380952381,239.663613464889,21,627,249.293929758898,42,"cebersole.nova",246.177962830336,-0.0241791786882374
7428326,475.904761904762,99.5609887264609,21,601.357142857143,267.894302184382,42,"cebersole.ashland",226.907558717127,0.552878809598298
7428367,505.52380952381,72.9846689706948,21,574.521428571429,165.033195900488,42,"cebersole.florida",141.607250891592,0.487246370600335
7428391,536.857142857143,117.879720781094,21,549.261904761905,107.915517888585,42,"cebersole.ashland",111.280821147884,0.111472594979119
7428394,494.238095238095,78.9530903523762,21,557.02380952381,223.3636964296,42,"cebersole.mississippi",188.61952273286,0.332869648783053
7428396,664.238095238095,224.250508307541,21,762.754578754579,258.636138261172,42,"cebersole.mississippi",247.888279374443,0.39742291876443
7428424,563.47619047619,88.0673713969135,21,610.822299651568,160.297495267509,42,"cebersole.florida",140.760464168322,0.336359427735056
7428430,767.238095238095,504.550780869667,21,772.505226480836,354.545383789315,42,"cebersole.florida",409.822620673204,0.0128522218565897
7428444,622.952380952381,265.206047478272,21,642.046428571429,272.257690913083,42,"cebersole.vcu",269.965972752464,0.0707276084625496
7428448,559.904761904762,136.67659081273,21,552.142857142857,126.338023442063,42,"cebersole.michst",129.818470507604,-0.0597904499379398
7428458,620.285714285714,132.039063483934,21,723.238095238095,197.25986445071,42,"cebersole.montana",178.521060187651,0.576695997907267
7428509,502.714285714286,102.526163908118,21,547.505226480836,244.503159529629,42,"cebersole.ashland",208.87229926963,0.214441747053928
7428512,669.619047619048,223.669281795797,21,681.285714285714,103.550455644152,42,"cebersole.florida",153.654366435667,0.0759279865408277
7428513,576,162.365020863485,21,570.1393728223,129.016135631035,42,"cebersole.florida",140.823089422235,-0.0416169479148995
7428580,592.857142857143,129.714411579549,21,629.095238095238,194.269715642443,42,"cebersole.vcu",175.736678504349,0.206206783618017
7428617,667.621428571429,288.102593953712,21,750.04181184669,349.147607767629,42,"cebersole.florida",330.378030500018,0.24947295421103
7428624,559.857142857143,102.013864603928,21,627.968641114983,233.740603018491,42,"cebersole.michst",200.334066118666,0.339989596265143
7428643,554.380952380952,161.72862337585,21,632.880952380952,292.44846970572,42,"cebersole.ithaca",257.022463684417,0.305420774801947
7428673,841.521428571429,286.56989486486,21,874.904761904762,353.806051977345,42,"cebersole.sdsu",333.259454673962,0.100172201763918
7428674,562.52380952381,170.714269774855,21,518.773519163763,124.245313532957,42,"cebersole.sdsu",141.176558068156,-0.309897698022396
7428675,565.571428571429,231.651153985593,21,491.066202090592,138.295159414681,42,"cebersole.sdsu",174.496593920253,-0.426972382709578
7428713,583.571428571429,115.631990136195,21,607.166666666667,151.377241042671,42,"cebersole.florida",140.661958236496,0.167744274223505
7428714,628.666666666667,295.66033439292,21,662.066202090592,158.182944088353,42,"cebersole.florida",213.257185702757,0.156616225211181
7428885,645.952380952381,183.825046223434,21,678.452380952381,143.862434694204,42,"cebersole.michst",158.082016331991,0.205589482941223
7428912,610.095238095238,335.927954294058,21,582.833976833977,239.244298279701,42,"cebersole.sdsu",274.719022304042,-0.0992332494219863
7429128,531.142857142857,205.359510545357,21,566.446428571429,267.325719872268,42,"cebersole.michst",248.715890062447,0.141943369278527
7429290,557.571428571429,195.96493855498,21,563.968641114983,169.093959266507,42,"cebersole.michst",178.350759227313,0.0358687149483933
