"type","analysis","measure","digit","prop"
"Genuine","benford","Mean incongruent","7",0.196284087503746
"Genuine","benford","Mean incongruent","8",0.0913994605933473
"Genuine","benford","Mean incongruent","9",0.0446508840275697
"Genuine","benford","SD congruent","1",0.403955648786335
"Genuine","benford","SD congruent","2",0.249325741684147
"Genuine","benford","SD congruent","3",0.0899011087803416
"Genuine","benford","SD congruent","4",0.038957147138148
"Genuine","benford","SD congruent","5",0.0332634102487264
"Genuine","benford","SD congruent","6",0.041054839676356
"Genuine","benford","SD congruent","7",0.0473479172909799
"Genuine","benford","SD congruent","8",0.0512436320047947
"Genuine","benford","SD congruent","9",0.0449505543901708
"Genuine","benford","SD incongruent","1",0.311956847467785
"Genuine","benford","SD incongruent","2",0.390770152831885
"Genuine","benford","SD incongruent","3",0.160922984716812
"Genuine","benford","SD incongruent","4",0.0581360503446209
"Genuine","benford","SD incongruent","5",0.0290680251723105
"Genuine","benford","SD incongruent","6",0.0149835181300569
"Genuine","benford","SD incongruent","7",0.0119868145040456
"Genuine","benford","SD incongruent","8",0.00958945160323644
"Genuine","benford","SD incongruent","9",0.0125861552292478
"Genuine","terminal","Mean congruent","0",0.105184297273
"Genuine","terminal","Mean congruent","1",0.0982918789331735
"Genuine","terminal","Mean congruent","2",0.0976925382079712
"Genuine","terminal","Mean congruent","3",0.0958945160323644
"Genuine","terminal","Mean congruent","4",0.10788133053641
"Genuine","terminal","Mean congruent","5",0.0961941863949655
"Genuine","terminal","Mean congruent","6",0.100389571471381
"Genuine","terminal","Mean congruent","7",0.0890020976925382
"Genuine","terminal","Mean congruent","8",0.104584956547797
"Genuine","terminal","Mean congruent","9",0.104884626910399
"Genuine","terminal","Mean incongruent","0",0.100389571471381
"Genuine","terminal","Mean incongruent","1",0.0973928678453701
"Genuine","terminal","Mean incongruent","2",0.097093197482769
"Genuine","terminal","Mean incongruent","3",0.100689241833983
"Genuine","terminal","Mean incongruent","4",0.106083308360803
"Genuine","terminal","Mean incongruent","5",0.0952951753071621
"Genuine","terminal","Mean incongruent","6",0.109679352712017
"Genuine","terminal","Mean incongruent","7",0.101588252921786
"Genuine","terminal","Mean incongruent","8",0.0973928678453701
"Genuine","terminal","Mean incongruent","9",0.0943961642193587
"Genuine","terminal","SD congruent","0",0.108181000899011
"Genuine","terminal","SD congruent","1",0.100689241833983
"Genuine","terminal","SD congruent","2",0.0946958345819598
"Genuine","terminal","SD congruent","3",0.102487264009589
"Genuine","terminal","SD congruent","4",0.0985915492957746
"Genuine","terminal","SD congruent","5",0.0955948456697633
"Genuine","terminal","SD congruent","6",0.112975726700629
"Genuine","terminal","SD congruent","7",0.0857057237039257
"Genuine","terminal","SD congruent","8",0.0973928678453701
"Genuine","terminal","SD congruent","9",0.103685945459994
"Genuine","terminal","SD incongruent","0",0.0973928678453701
"Genuine","terminal","SD incongruent","1",0.0925981420437519
"Genuine","terminal","SD incongruent","2",0.0955948456697633
"Genuine","terminal","SD incongruent","3",0.0991908900209769
"Genuine","terminal","SD incongruent","4",0.110878034162421
"Genuine","terminal","SD incongruent","5",0.105783637998202
"Genuine","terminal","SD incongruent","6",0.090800119868145
"Genuine","terminal","SD incongruent","7",0.100689241833983
"Genuine","terminal","SD incongruent","8",0.103086604734792
"Genuine","terminal","SD incongruent","9",0.103985615822595
